+-------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-----------+-------------+-----------+--------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY) | MAX(BODY) |  SUM(BODY)  | AVG(BODY) | METHOD |                                                                                                           URI                                                                                                            |
|     1 | 1.394 | 1.394 |   1.394 | 1.394 | 1.394 | 1.394 | 1.394 |  0.000 | 79399.000 | 79399.000 |   79399.000 | 79399.000 | GET    | /?page=81                                                                                                                                                                                                                |
|     1 | 1.379 | 1.379 |   1.379 | 1.379 | 1.379 | 1.379 | 1.379 |  0.000 |  4746.000 |  4746.000 |    4746.000 |  4746.000 | GET    | /keyword/%E3%81%93%E3%81%8A%E3%82%8D%E3%81%8E%E6%A9%8B                                                                                                                                                                   |
|     1 | 1.378 | 1.378 |   1.378 | 1.378 | 1.378 | 1.378 | 1.378 |  0.000 | 10629.000 | 10629.000 |   10629.000 | 10629.000 | GET    | /keyword/%E5%AE%89%E7%94%B0%E5%8D%97                                                                                                                                                                                     |
|     1 | 1.363 | 1.363 |   1.363 | 1.363 | 1.363 | 1.363 | 1.363 |  0.000 |    25.000 |    25.000 |      25.000 |    25.000 | POST   | /stars?user=sixeight&keyword=%E3%83%88%E3%82%A4%E3%82%BA                                                                                                                                                                 |
|     2 | 0.515 | 0.845 |   1.360 | 0.680 | 0.515 | 0.515 | 0.515 |  0.165 |  3467.000 |  3467.000 |    6934.000 |  3467.000 | GET    | /keyword/%E3%82%A4%E3%83%89%E3%83%AA%E3%83%BC%E3%82%B9                                                                                                                                                                   |
|     3 | 0.222 | 0.689 |   1.339 | 0.446 | 0.222 | 0.222 | 0.428 |  0.191 |  3628.000 |  3631.000 |   10890.000 |  3630.000 | GET    | /keyword/788%E5%B9%B4                                                                                                                                                                                                    |
|     2 | 0.485 | 0.844 |   1.329 | 0.664 | 0.485 | 0.485 | 0.485 |  0.179 |  2132.000 |  2132.000 |    4264.000 |  2132.000 | GET    | /keyword/%E5%8A%A0%E8%97%A4%E5%BD%B0                                                                                                                                                                                     |
|     2 | 0.576 | 0.752 |   1.328 | 0.664 | 0.576 | 0.576 | 0.576 |  0.088 |  7874.000 |  8127.000 |   16001.000 |  8000.500 | GET    | /keyword/FreeTEMPO                                                                                                                                                                                                       |
|     2 | 0.344 | 0.982 |   1.326 | 0.663 | 0.344 | 0.344 | 0.344 |  0.319 |  4798.000 |  4798.000 |    9596.000 |  4798.000 | GET    | /keyword/%E8%B1%8A%E6%A9%8B%E9%96%A3%E6%97%A5%E9%80%B2%E7%A6%85%E5%AF%BA                                                                                                                                                 |
|     1 | 1.323 | 1.323 |   1.323 | 1.323 | 1.323 | 1.323 | 1.323 |  0.000 | 37937.000 | 37937.000 |   37937.000 | 37937.000 | GET    | /?page=51                                                                                                                                                                                                                |
