+-------+-------+-------+---------+-------+-------+-------+-------+--------+------------+------------+--------------+------------+--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| COUNT |  MIN  |  MAX  |   SUM   |  AVG  |  P1   |  P50  |  P99  | STDDEV | MIN(BODY)  | MAX(BODY)  |  SUM(BODY)   | AVG(BODY)  | METHOD |                                                                                           URI                                                                                           |
|     2 | 0.389 | 0.968 |   1.357 | 0.678 | 0.389 | 0.389 | 0.389 |  0.289 |  12806.000 |  12952.000 |    25758.000 |  12879.000 | GET    | /keyword/Sugar%20%28%E9%9F%93%E5%9B%BD%E3%81%AE%E9%9F%B3%E6%A5%BD%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97%29                                                                                |
|     1 | 1.350 | 1.350 |   1.350 | 1.350 | 1.350 | 1.350 | 1.350 |  0.000 |  45665.000 |  45665.000 |    45665.000 |  45665.000 | GET    | /?page=34                                                                                                                                                                               |
|     2 | 0.489 | 0.846 |   1.335 | 0.667 | 0.489 | 0.489 | 0.489 |  0.178 |   3779.000 |   5954.000 |     9733.000 |   4866.500 | GET    | /keyword/%E6%B2%BC%E8%90%BD%E6%82%AA%E6%B0%B4%E8%B7%AF                                                                                                                                  |
|     1 | 1.320 | 1.320 |   1.320 | 1.320 | 1.320 | 1.320 | 1.320 |  0.000 |  42681.000 |  42681.000 |    42681.000 |  42681.000 | GET    | /?page=10                                                                                                                                                                               |
|     2 | 0.643 | 0.673 |   1.316 | 0.658 | 0.643 | 0.643 | 0.643 |  0.015 |   7139.000 |   7144.000 |    14283.000 |   7141.500 | GET    | /keyword/%E5%BE%A1%E5%AE%BF%E9%A7%85                                                                                                                                                    |
|     2 | 0.638 | 0.655 |   1.293 | 0.647 | 0.638 | 0.638 | 0.638 |  0.009 |   3029.000 |   3029.000 |     6058.000 |   3029.000 | GET    | /keyword/%E7%89%A9%E8%B3%AA%E6%96%87%E6%98%8E                                                                                                                                           |
|     2 | 0.573 | 0.700 |   1.273 | 0.636 | 0.573 | 0.573 | 0.573 |  0.064 |   3115.000 |   3115.000 |     6230.000 |   3115.000 | GET    | /keyword/%E8%A1%8C%E6%94%BF%E6%95%99%E5%8C%BA                                                                                                                                           |
|     2 | 0.567 | 0.701 |   1.268 | 0.634 | 0.567 | 0.567 | 0.567 |  0.067 |   3223.000 |   3223.000 |     6446.000 |   3223.000 | GET    | /keyword/%E5%8D%97%E5%B1%B1%E5%B4%8E%E6%9D%91                                                                                                                                           |
|     2 | 0.614 | 0.638 |   1.252 | 0.626 | 0.614 | 0.614 | 0.614 |  0.012 |   7876.000 |   7877.000 |    15753.000 |   7876.500 | GET    | /keyword/%E5%B7%A8%E5%A4%A7%E5%9F%BA%E6%95%B0                                                                                                                                           |
|     2 | 0.478 | 0.771 |   1.249 | 0.625 | 0.478 | 0.478 | 0.478 |  0.147 |   3779.000 |   4037.000 |     7816.000 |   3908.000 | GET    | /keyword/%E5%89%A3%E9%81%93%E6%97%A5%E6%9C%AC                                                                                                                                           |
|     2 | 0.304 | 0.945 |   1.249 | 0.624 | 0.304 | 0.304 | 0.304 |  0.320 |   2243.000 |   2243.000 |     4486.000 |   2243.000 | GET    | /keyword/CCE                                                                                                                                                                            |
|     2 | 0.512 | 0.729 |   1.241 | 0.621 | 0.512 | 0.512 | 0.512 |  0.108 |   3780.000 |   4600.000 |     8380.000 |   4190.000 | GET    | /keyword/%E6%9E%87%E6%9D%B7%E5%B3%B6%E6%A9%8B                                                                                                                                           |
|     1 | 1.221 | 1.221 |   1.221 | 1.221 | 1.221 | 1.221 | 1.221 |  0.000 |  55695.000 |  55695.000 |    55695.000 |  55695.000 | GET    | /?page=30                                                                                                                                                                               |
|     1 | 1.208 | 1.208 |   1.208 | 1.208 | 1.208 | 1.208 | 1.208 |  0.000 |  71231.000 |  71231.000 |    71231.000 |  71231.000 | GET    | /?page=16                                                                                                                                                                               |
|     1 | 1.198 | 1.198 |   1.198 | 1.198 | 1.198 | 1.198 | 1.198 |  0.000 |  58413.000 |  58413.000 |    58413.000 |  58413.000 | GET    | /?page=42                                                                                                                                                                               |
|     1 | 1.183 | 1.183 |   1.183 | 1.183 | 1.183 | 1.183 | 1.183 |  0.000 |  53889.000 |  53889.000 |    53889.000 |  53889.000 | GET    | /?page=12                                                                                                                                                                               |
|     2 | 0.377 | 0.804 |   1.181 | 0.591 | 0.377 | 0.377 | 0.377 |  0.214 |   3039.000 |   3039.000 |     6078.000 |   3039.000 | GET    | /keyword/%E3%83%AC%E3%83%95%E3%83%A9%E3%83%BC                                                                                                                                           |
|     1 | 1.179 | 1.179 |   1.179 | 1.179 | 1.179 | 1.179 | 1.179 |  0.000 |  35767.000 |  35767.000 |    35767.000 |  35767.000 | GET    | /?page=64                                                                                                                                                                               |
|     2 | 0.484 | 0.694 |   1.178 | 0.589 | 0.484 | 0.484 | 0.484 |  0.105 |   3779.000 |   3779.000 |     7558.000 |   3779.000 | GET    | /keyword/%E7%94%B0%E7%AB%8B%E9%A7%85                                                                                                                                                    |
|     2 | 0.481 | 0.695 |   1.176 | 0.588 | 0.481 | 0.481 | 0.481 |  0.107 |   2999.000 |   2999.000 |     5998.000 |   2999.000 | GET    | /keyword/768%E5%B9%B4                                                                                                                                                                   |
|     2 | 0.458 | 0.697 |   1.155 | 0.578 | 0.458 | 0.458 | 0.458 |  0.119 |   2568.000 |   2568.000 |     5136.000 |   2568.000 | GET    | /keyword/%E8%BC%AA%E7%8A%B6%E7%94%B2%E7%8A%B6%E7%AD%8B                                                                                                                                  |
|     1 | 1.149 | 1.149 |   1.149 | 1.149 | 1.149 | 1.149 | 1.149 |  0.000 |  37557.000 |  37557.000 |    37557.000 |  37557.000 | GET    | /?page=32                                                                                                                                                                               |
|     2 | 0.566 | 0.578 |   1.144 | 0.572 | 0.566 | 0.566 | 0.566 |  0.006 |   3779.000 |   5389.000 |     9168.000 |   4584.000 | GET    | /keyword/%E5%8C%97%E6%B5%B7%E9%81%93%E3%81%AE%E5%86%8D%E9%96%8B%E7%99%BA%E3%81%AE%E4%B8%80%E8%A6%A7                                                                                     |
|     2 | 0.391 | 0.737 |   1.128 | 0.564 | 0.391 | 0.391 | 0.391 |  0.173 |   3780.000 |   4811.000 |     8591.000 |   4295.500 | GET    | /keyword/%E8%B1%8A%E6%A9%8B%E9%96%A3%E6%97%A5%E9%80%B2%E7%A6%85%E5%AF%BA                                                                                                                |
